University,Degree,Date,User,university_name,faculty_name
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",Sep 2015 - Jul 2020,ahmed-elsayedm,alexandria,engineering
information technology institute (iti),open source track (applications development),2018 - 2019,ahmed-esam-elzlabany-0157a5181,institute,
suez canal university,"good 71%, computer science",2015 - 2018,ahmed-esam-elzlabany-0157a5181,suez canal,computer
nile university,"master's degree - data science, informatics",Oct 2021 - Nov 2023,ahmed-gabal-106195131,nile,
nile university,"professional diploma, data science and big data",2018 - 2019,ahmed-gabal-106195131,nile,
al safwa high institute of engineering,"bachelor's degree, electrical and communication engineering",2012 - 2017,ahmed-gabal-106195131,institute,engineering
future,"very good, computer science",2012 - 2016,ahmed-ghanem-968496164,future,computer
purdue university,"doctor of philosophy (phd), computer engineering",2008 - 2014,ahmed-hamdy-abdel-gawad-50878325,,computer
cairo university,"master of science (ms), computer engineering",2003 - 2006,ahmed-hamdy-abdel-gawad-50878325,cairo,computer
cairo university,"bachelor of science (bs), computer engineering",1998 - 2003,ahmed-hamdy-abdel-gawad-50878325,cairo,computer
cairo university,"master’s degree, computer science",Jan 2018 - Mar 2024,ahmed-hani-ibrahim-07270960,cairo,computer
cairo university,"postgraduate degree (diploma), computer science",Mar 2016 - Sep 2017,ahmed-hani-ibrahim-07270960,cairo,computer
ain shams university,"bachelor's degree, computer science",2011 - 2015,ahmed-hani-ibrahim-07270960,ain shams,computer
alexandria university,"master's degree, computer engineering",2014 - 2018,ahmed-hisham-7a250260,alexandria,computer
alexandria university,"bachelor's degree, computer and systems engineering departement",2009 - 2014,ahmed-hisham-7a250260,alexandria,computer
cairo university,"bachelor's degree, computer engineering",Sep 2018 - Jul 2023,ahmed-ihab-54b1a1195,cairo,computer
cairo university,"درجة البكالوريوس , information technology",2013 - 2017,ahmed-khaled-221433142,cairo,computer
thebes academy,"bachelor's degree, computer science",Sep 2017 - Jun 2021,ahmed-khaled-86b6b1151,thebes,computer
cairo university,"bachelor's degree, computer engineering",2018 - 2023,ahmed-khaled-a53363193,cairo,computer
helwan university cairo,"master's degree, biomedical/medical engineering",Oct 2021 - Jan 2025,ahmed-khaled-b907b4144,helwan,engineering
higher technological institute,2014 - 2019,,ahmed-khaled-b907b4144,institute,
el shorouk academy,"bachelor's degree, computer and control engineering",2013 - 2018,ahmed-khalil-357152199,el shorouk,computer
"faculty of computing and information, misr higher institute for commerce and computers","bachelor of computer science, computer science",2015 - 2019,ahmed-m-hamed,institute,computer
zagazig university,"بكالوريوس حاسبات و معلومات, computer science",2014 - 2018,ahmed-m-ibrahim-4a3b3416a,zagazig,computer
ain shams university,"computer engineering, computer engineering and software systems",2016 - 2021,ahmed-mamdouh-7bb701192,ain shams,computer
ain shams university,"bachelor's degree, computer engineering",Sep 2016 - Jul 2021,ahmed-moamen-897359180,ain shams,computer
ministry of communications and information technology (mcit),"android developer, computer software engineering",2015 - 2015,ahmed-mohamed-akl,,computer
faculty of computers &amp; information,"bachelor's degree, computer science department",2008 - 2012,ahmed-mohamed-akl,,computer
helwan university cairo,"bachelor's degree, computer science and artificial intelligence",2016 - 2020,ahmed-mokbel-105b53168,helwan,computer
"faculty of engineering , tanta university","bachelor's degree, communication and electronics engineering",2012 - 2017,ahmed-nageh-0921b9128,tanta,engineering
information technology institute (iti),"9-month diploma, embedded systems",2019 - 2020,ahmed-qandeel,institute,
mansoura university,"bachelor's degree, biomedical/medical engineering",2014 - 2019,ahmed-qandeel,mansoura,engineering
cairo university,"higher diploma, computer science",Sep 2021 - Jun 2023,ahmed-salah-1a3926162,cairo,computer
cairo university,"bachelor , agriculture",Sep 2005 - May 2009,ahmed-salah-1a3926162,cairo,
cairo university,"pre-master, computer science",2019 - 2020,ahmed-samir-58250284,cairo,computer
"faculty of computers and information, cairo university","b.s, information technology",2008 - 2012,ahmed-samir-58250284,cairo,computer
faculty of computer and information science ain shams university,"bachelor's degree, computer science",2015 - 2019,ahmed-samir-83474a121,ain shams,computer
suez canal university,"bachelor's degree, computer science",Oct 2018 - Jul 2022,ahmed-samir-b0206b1b8,suez canal,computer
zagazig university,"bachelor of applied science - basc, computer and information sciences and support services",2014 - 2018,ahmed-samy-datascientist,zagazig,computer
information technology institute (iti),"post-grad , artificial intelligence",Apr 2021 - Dec 2021,ahmed-samy-datascientist,institute,
zagazig university,"master's degree, artificial intelligence and information systems",Oct 2022 - Oct 2024,ahmed-samy-datascientist,zagazig,
cairo university,"bachelor's degree, computer science",Sep 2017 - Jul 2021,ahmed-sayed-mansour-139101182,cairo,computer
information technology institute (iti),web development,2019 - 2019,ahmed-senjer-519207168,institute,
"faculty of petroleum and mining engineering, suez university","bachelor's degree, petroleum engineering",2014 - 2018,ahmed-senjer-519207168,,engineering
ain shams university,"bachelor's degree of computer science, computer science",2015 - 2019,ahmed-shaarawy-1982ab145,ain shams,computer
zewail city of science and technology,"bachelor of engineering (b.e.), communication and information engineering",2015 - 2020,ahmed-wael-3b61a0111,zewail city,engineering
delta university for science and technology,2018 - 2023,,ahmed-waleed-79111a224,delta,
tanta university,"bachelor of applied science - basc, engineering",2016 - 2021,ahmed-wasfey-sleem,tanta,engineering
misr university for science and technology,"bachelor of science - bs, information technology",2013 - 2017,ahmed-younis-57208a150,misr,computer
"arab academy for science, technology and maritime transport","bachelors of computer science, computer software engineering",Sep 2013 - Jun 2017,ahmed-yousry12,iti,computer
fci cairo university,computer science,2013 - 2017,ahmed-youssef-32781713a,cairo,computer
information technology institute (iti),"professional 9 month diploma, open source track, cloud platform development",Oct 2020 - Jul 2021,ahmed-zakaria-20184a146,institute,
modern sciences and arts university,"bachelor of engineering - be , computer engineering",2015 - 2020,ahmed-zakaria-20184a146,,computer
university of greenwich,bachelor of engineering - be,,ahmed-zakaria-20184a146,,engineering
helwan university cairo,"bachelor of computer science (bcs), software engineering",2014 - 2018,ahmedabdallahnasr,helwan,computer
ain shams university,"bachelor's degree, computer science",2017 - 2021,ahmedabuamra,ain shams,computer
cairo university,"bachelor of computer and communiation engineering, computer engineering",2015 - 2020,ahmedashraf97,cairo,computer
modern academy maadi,"bachelor's degree, computer science",2011 - 2015,ahmedelkhaberi,modern academy,computer
mansoura university,"bachelor's degree, computer engineering",2012 - 2017,ahmedeltaweel,mansoura,computer
misr international university,"bachelor of science - bs, computer science",2013 - 2017,ahmedessam-12,misr,computer
nile university,"master, information technology",2011 - 2015,ahmedfathykhalid,nile,computer
cairo university,"bachelor of science (bsc), systems and biomedical engineering",2005 - 2010,ahmedfathykhalid,cairo,engineering
future academy - higher future institute for specialized technological studies,"passable, programming languages",2002 - 2006,ahmedfrontend,future,
cairo university,"bachelor's degree, computer engineering",2015 - 2020,ahmedhamed2020,cairo,computer
information technology institute (iti),"postgraduate degree, computer software engineering",2018 - 2019,ahmedhemaz,institute,computer
alexandria university,"bachelor of engineering - be, electromechanical technology/electromechanical engineering technology",2011 - 2017,ahmedhemaz,alexandria,engineering
ain shams university,"good, computer sciences",2004 - 2008,ahmedhussam,ain shams,computer
mansoura university,"bachelor's degree , faculty of engineering - computer &amp; systems engineering",2014 - 2019,ahmedkhames,mansoura,computer
"faculty of engineering, zagazig university","bachelor’s degree, computer engineering",2008 - 2013,ahmedmabrouck,zagazig,computer
cairo university,"bachelor's degree, computer engineering",2017 - 2022,ahmedmks,cairo,computer
modern university for technology &amp; information - mti,2016 - 2020,,ahmedmuti,mti,
alexandria university,"bachelor's degree, computer and systems engineering",2015 - 2020,ahmednasser23,alexandria,computer
faculty of science - helwan university,"bachelor of applied science (b.a.sc.), physics",2007 - 2011,ahmednmahran,helwan,
cairo university,"bachelor of science - bs, computer engineering",2015 - 2020,ahmedosama9777,cairo,computer
information technology institute (iti),"9- month - professional diploma, mobile application development",2019 - 2020,ahmedramzy1795,institute,
department of computer and information sciences at towson university,mobile application development,2013 - 2017,ahmedramzy1795,,computer
"arab academy for science, technology and maritime transport","bachelor's degree, computer science",2013 - 2018,ahmedshalaby96,iti,computer
the german university in cairo,"bachelor's degree, computer engineering",2016 - 2021,ahmedtremo,cairo,computer
arab open university,"bachelor’s degree, computer programming",2014 - 2017,ahmedyassernosseir,,computer
cairo university,"bachelor of engineering - be, computer engineering",2015 - 2020,ahmibr68,cairo,computer
georgia institute of technology,"master of science - ms, computer science",Aug 2022,aielawady,institute,computer
information technology institute (iti),"professional diploma, mechatronics",2018 - 2019,aielawady,institute,
mansoura university,"bachelor of science - bs, mechanical engineering",2013 - 2018,aielawady,mansoura,engineering
cairo university,"bachelor of engineering - be, biomedical/medical engineering",2016 - 2021,akabdelrahman,cairo,engineering
cic - canadian international college,"bachelor's degree, computer science",2019 - 2023,alaa-mady-7a8aa51a8,,computer
"arab academy for science, technology and maritime transport","bachelor of engineering, mechatronics engineering specified in software development .",2017,alaa-magdy-25a666189,iti,engineering
patriarchal college,high secondary diploma [ 94 % ].,,alaa-magdy-25a666189,,
alexandria university,"bachelor of engineering - be, computer engineering",2012 - 2017,alaa-moaataz-3740308b,alexandria,computer
information technology institute (iti),2017 - 2018,,alaa-moustapha,institute,
alexandria university,"bachelor's degree, computer science",2013 - 2017,alaa-moustapha,alexandria,computer
"arab academy for science, technology and maritime transport","bachelor of applied science - basc, computer engineering",Oct 2015 - Jul 2021,alaaelnagy,iti,computer
cairo university,"bachelor of engineering - be, biomedical/medical engineering",2016 - Aug 2021,alaagamaall,cairo,engineering
south valley university,"bachelor's degree, electrical and electronics engineering",2015 - 2020,ali-harby-4103b7169,,engineering
al-azhar university,"bachelor's degree, arabic language and literature",Sep 2018 - Jun 2021,aliaa-attia,azhar,
information technology institute (iti),"9-month professional diploma, system development track, software architect",Oct 2020 - Jun 2021,aliaa-yasser,institute,
helwan university cairo,"bachelor's degree, computer science",2016 - 2020,aliaa-yasser,helwan,computer
helwan university cairo,"bachelor's degree, electronics engineering and computer engineering",2013 - 2018,aliabdelaal,helwan,computer
cairo university,"bachelor's degree, electrical, electronic and communications engineering technology/technician",2013 - 2018,alielsherbiny,cairo,engineering
kafr el-sheikh university,"master of engineering - meng, electrical and electronics engineering",2018 - 2023,alien0x,,engineering
coventry university,"bachelor of computer science - bsc, computer science",Oct 2019 - May 2023,alimagedayad,,computer
cairo university,"bachelor's degree, computer engineering",2016 - 2021,aly-ramzy-24450b179,cairo,computer
ain shams university,"bachelor's degree, computer science",2015 - 2019,aly-sabry-4b1a50185,ain shams,computer
art educaction,"bachelor's degree, art/art studies, general",2008 - 2012,alyeldegwy,,
faculty of computer science &amp; information system helwan university,software engineering,2013 - 2017,alyymagdy,helwan,computer
the german university in cairo,"bachelor of science bsc, computer science and engineering",Oct 2017 - Jul 2022,aman-allah-rafat,cairo,computer
ulm university,"bachelor thesis, computer science and psychology",Apr 2021 - Sep 2021,aman-allah-rafat,,computer
faculty of computers and information cairo universty,"bachelor's degree, information technology",2014 - 2018,amina-gaber-088026a5,,computer
information technology institute (iti),computer science,2015 - 2016,amir-attya,institute,computer
ain shams university,"bachelor degree, computer and information science",2009 - 2013,amir-attya,ain shams,computer
cairo university,"bachelor's degree, computer science",2013 - 2017,amira-ashmawy-247252a1,cairo,computer
ain shams university,"bachelor's degree, computer science",2013 - 2017,amira-atef-7a90a5156,ain shams,computer
the german university in cairo,"bachelor's degree, computer software engineering",2014 - 2019,amira-khaled-mokhtar,cairo,computer
purdue university,"master's degree, computer science",2018 - 2021,amira-mamoun-395b4862,,computer
"faculty of engineering, cairo university","bachelor of engineering - be, computer engineering",2013 - 2016,amira-mamoun-395b4862,cairo,computer
ain shams university,"good, engineering-communications and electronics",2001 - 2006,amira-nagi-6b705235,ain shams,engineering
information technology institute (iti),"9 months diploma, data science",2020 - 2021,amiramamdouh,institute,
ain shams university,"bachelor's degree, energy and renewable energy engineer",2014 - 2019,amiramamdouh,ain shams,engineering
information technology institute (iti),"associate's degree, electrical, electronics and communications engineering",Aug 2020 - Aug 2021,amiramohkamal,institute,engineering
suez canal university,"bachelor of engineering - be, electrical, electronics and communications engineering",2015 - 2020,amiramohkamal,suez canal,engineering
mansoura university,"bachelor's degree, computer engineering",2008 - 2013,aml-esmail-42a8b611b,mansoura,computer
mansoura university,"bachelor of engineering, computers &amp; systems department",2008 - 2013,aml-esmail-42a8b611b,mansoura,computer
cairo university,"bachelor of engineering - be, computer engineering",2018 - 2023,ammar21,cairo,computer
misr university for science and technology,"bachelor's degree, computer science",2014 - 2018,amoharib,misr,computer
faculty of engineering alexandria university,"bachelor’s degree, computer engineering",2009 - 2013,amr-alaaeldin-ismail,alexandria,computer
cairo university,"bachelor, computer science",Sep 2016 - Jul 2021,amr-anwr-aa92211b2,cairo,computer
"faculty of engineering, ain shams university","bachelor's degree, computers and systems",2000 - 2005,amr-el-agamy-45a72a2,ain shams,computer
"arab academy for science, technology and maritime transport","post graduate diploma, computer engineering",2008 - 2010,amr-el-agamy-45a72a2,iti,computer
information technology institute,"post graduate diploma, computer networks",2005 - 2006,amr-el-agamy-45a72a2,institute,computer
ain shams university,"bachelor's degree, computer software engineering",2016 - 2021,amr-elsersy-a29484198,ain shams,computer
university of ottawa,"master of engineering - meng, artificial intelligence",Jun 2021 - Jul 2022,amr-elsherbiny-769092138,ottawa,engineering
"arab academy for science, technology and maritime transport","bachelor of science - bs, computer engineering",2015 - 2020,amr-elsherbiny-769092138,iti,computer
alexandria university,"master of science (msc), computer engineering",2014 - 2016,amr-elyamany-0158a26b,alexandria,computer
alexandria university,"bachelor of science (bs), computer engineering",2008 - 2013,amr-elyamany-0158a26b,alexandria,computer
the german university in cairo,"bachelor's degree, computer engineering",2017 - 2021,amr-galaleldin-2011,cairo,computer
ain shams university,"bachelor's degree, computers and systems engineering",Sep 2017 - Jul 2022,amr-khaled-632427199,ain shams,computer
ain shams university,"bachelor's degree, electronics and electrical communications engineering",2017 - 2022,amr-m-abdelgawad,ain shams,engineering
cairo university,"bachelor’s degree, computer and artificial intelligence",2014 - 2018,amr-magdy-095007131,cairo,computer
ain shams university,"bachelor's degree, computer science",2014 - 2018,amr-mohamed-foad,ain shams,computer
information technology institute (iti),"internship, linux administration",Dec 2021 - Feb 2022,amr-muhammed,institute,
pharos university in alexandria,"bachelor of engineering - be, electrical, electronics and communications engineering",2015 - 2020,amr-muhammed,alexandria,engineering
kth royal institute of technology,"bachelor of engineering - be, electrical, electronics and communications engineering",Sep 2015 - Jun 2020,amr-muhammed,institute,engineering
cairo university,"bachelor, computer engineering",2002 - 2007,amrelrouby,cairo,computer
faculty of engineering,"bachelor of computer engineering, computer engineering",2002 - 2007,amrelrouby,,computer
universität passau,"master of science - ms, computer science",Apr 2023 - Mar 2025,amrmustafa97,,computer
alexandria university,"bachelor of science - bs, computer and communications engineering",2016 - 2021,amrmustafa97,alexandria,computer
"victoria college, alexandria",thanaweya amma,2015 - 2016,amrmustafa97,,
alexandria university,"student at, computer and communication department.",2016 - 2021,amroakmal,alexandria,computer
cairo university,"bachelor's degree, computer science",2015 - 2019,amrtarekmo,cairo,computer
cairo university,"bachelor’s degree, computer engineering",2013 - 2018,antoun-wagdy-025443b6,cairo,computer
cairo university,"bachelor’s degree, computer science",2009 - 2013,arrashed,cairo,computer
alexandria university,"bachelor's degree, computer and communications engineering",2015 - 2020,arwa-mohammed-abdelhamid,alexandria,computer
information technology institute (iti),user interface design,2017 - 2018,asmaa-aman,institute,
information technology institute (iti),"diploma of education, cloud architecture",Oct 2021 - Jun 2022,asmaa-elsayed-ahmed,institute,
cairo university,"bachelor's degree, information technology",Oct 2017 - Jun 2021,asmaa-elsayed-ahmed,cairo,computer
met acadamey,"bachelor's degree, computer science",2015 - 2019,asmaa-esam-a17b23189,,computer
ain shams university,"bachelor of engineering - be, electronics and communications engineering",2013 - 2018,asmaa-salem-a11741124,ain shams,engineering
zero to mastery academy,"complete react developer in 2022 (w/ redux, hooks, graphql), computer software engineering",Jun 2022 - Sep 2022,asmaa-salem-a11741124,,computer
al-azhar university,"b.sc., special physics",2012 - 2016,asmmo,azhar,
alexandria university,"bachelor's degree, computer and communication engineering",2017 - 2022,assem-salama-913a0a180,alexandria,computer
high institute for computers and management information systems,"bachelor’s degree, management information systems, general",2013 - 2017,atefgad,institute,computer
fayoum university,"bachelor of engineering , computer engineering",Oct 2017 - Jul 2022,aya-ahmed-aab471256,fayoum,computer
faculty of computers and artificial intelligence cairo university,"bachelor's degree, information systems",2017 - 2021,aya-ali-78bba91a2,cairo,computer
ain shams university,"bachelor's degree, computer engineering",2017 - 2021,aya-el-ashry,ain shams,computer
information technology institute (iti),open source applications development,2020 - 2021,aya-hussein-19a359134,institute,
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",2014 - 2019,aya-hussein-19a359134,alexandria,engineering
helwan university cairo,"bachelor of arts - ba, italian language and literature",Sep 2010 - Jun 2014,aya-magdy13892,helwan,
helwan university cairo,"bachelor of arts - ba, faculty of arts - italian language",2009 - 2014,aya-magdy13892,helwan,
cairo university,"bachelor's degree , faculty of engineering , computer engineering",2009 - 2014,ayaelsayed,cairo,computer
the american university in cairo,"master of science (m.sc.), computer science",2012 - 2017,ayah-elmaghraby,cairo,computer
cairo university,bachelor of computer engineering,2006 - 2011,ayah-elmaghraby,cairo,computer
information technology institute (iti),.net full stack development diploma,2017 - 2018,ayatoullah-ramzy,institute,
tanta university,computer and control engineering,2009 - 2014,ayatoullah-ramzy,tanta,computer
port said university,"pre-master, computer and control department",2015 - 2016,ayatoullah-ramzy,,computer
tanta university,"bachelor of engineering (b.eng.), computer science and automation department",2011 - 2016,ayman-aladdin-1012,tanta,computer
alexandria university,"bachelor's degree, computer and communications engineering",2018 - 2022,ayman-el-ghotni-1245111a7,alexandria,computer
information technology institute (iti),"postgraduate degree, artificial intelligence",2021 - 2022,azizmousa,institute,
future academy,"bachelor's degree, computer science",2015 - 2019,azizmousa,future,computer
